Feature,Description
customerID,Customer ID
gender,Whether the customer is a male or a female
SeniorCitizen,"Whether the customer is a senior citizen or not (1, 0)"
Partner,"Whether the customer has a partner or not (Yes, No)"
Dependents,"Whether the customer has dependents or not (Yes, No)"
tenure,Number of months the customer has stayed with the company
PhoneService,"Whether the customer has a phone service or not (Yes, No)"
MultipleLines,"Whether the customer has multiple lines or not (Yes, No, No phone service)"
InternetService,"Customer’s internet service provider (DSL, Fiber optic, No)"
OnlineSecurity,"Whether the customer has online security or not (Yes, No, No internet service)"
